State,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Alabama,2001,737,4467634,16.49643,16.44073
Alabama,2002,724,4480089,16.16039,16.10151
Alabama,2003,765,4503491,16.98682,16.86283
Alabama,2004,679,4530729,14.98655,14.82905
Alabama,2005,736,4569805,16.10572,15.99722
Alabama,2006,780,4628981,16.85036,16.76805
Alabama,2007,812,4672840,17.37701,17.29516
Alabama,2008,820,4718206,17.37949,17.34113
Alabama,2009,830,4757938,17.44453,17.21485
Alabama,2010,782,4779736,16.36074,16.18165
Alabama,2011,785,4802740,16.34484,16.02121
Alabama,2012,831,4822023,17.23343,17.10741
Alabama,2013,860,4833722,17.79167,17.64207
Alabama,2014,815,4849377,16.80628,16.87887
Alabama,2015,958,4858979,19.71608,19.63087
Alabama,2016,1046,4863300,21.50803,21.48852
Alaska,2001,95,633714,14.99099,14.86139
Alaska,2002,127,642337,19.77155,19.85838
Alaska,2003,120,648414,18.50669,19.45083
Alaska,2004,117,659286,17.74647,17.45249
Alaska,2005,116,666946,17.39271,17.49987
Alaska,2006,111,675302,16.43709,17.08839
Alaska,2007,120,680300,17.63928,18.13144
Alaska,2008,142,687455,20.6559,21.02741
Alaska,2009,104,698895,14.88063,14.88525
Alaska,2010,144,710231,20.27509,20.4252
Alaska,2011,126,722718,17.43419,17.5095
Alaska,2012,132,731449,18.04637,17.75729
Alaska,2013,144,735132,19.58832,19.7516
Alaska,2014,145,736732,19.68151,19.17483
Alaska,2015,177,738432,23.96971,23.37686
Alaska,2016,177,741894,23.85786,23.32396
Arizona,2001,842,5273477,15.9667,15.97114
Arizona,2002,968,5396255,17.93837,17.96834
Arizona,2003,849,5510364,15.40733,15.36456
Arizona,2004,897,5652404,15.86935,15.92117
Arizona,2005,934,5839077,15.99568,16.05848
Arizona,2006,982,6029141,16.28756,16.258
Arizona,2007,951,6167681,15.41909,15.42708
Arizona,2008,907,6280362,14.44184,14.41348
Arizona,2009,856,6343154,13.49486,13.47977
Arizona,2010,931,6392017,14.56504,14.57463
Arizona,2011,964,6482505,14.87079,14.73052
Arizona,2012,946,6553255,14.43557,14.14153
Arizona,2013,941,6626624,14.20029,14.08944
Arizona,2014,927,6731484,13.77111,13.50934
Arizona,2015,970,6828065,14.20607,13.79181
Arizona,2016,1094,6931071,15.784,15.22501
Arkansas,2001,412,2691571,15.30705,15.28257
Arkansas,2002,441,2705927,16.29756,16.30757
Arkansas,2003,413,2724816,15.15699,15.06613
Arkansas,2004,406,2749686,14.76532,14.70304
Arkansas,2005,439,2781097,15.78514,15.7134
Arkansas,2006,426,2821761,15.09696,15.13495
Arkansas,2007,426,2848650,14.95445,15.09145
Arkansas,2008,444,2874554,15.44587,15.54724
Arkansas,2009,465,2896843,16.05196,16.15625
Arkansas,2010,419,2915918,14.3694,14.40101
Arkansas,2011,462,2937979,15.7251,16.07004
Arkansas,2012,490,2949131,16.61506,16.633
Arkansas,2013,501,2959373,16.92926,16.80859
Arkansas,2014,496,2966369,16.72078,16.56692
Arkansas,2015,520,2978204,17.46019,16.94999
Arkansas,2016,541,2988248,18.10425,17.77179
California,2001,3200,34479458,9.28089,9.3619
California,2002,3410,34871843,9.77866,9.78248
California,2003,3468,35253159,9.83742,9.81744
California,2004,3316,35574576,9.32126,9.27079
California,2005,3453,35827943,9.63773,9.53159
California,2006,3363,36021202,9.33617,9.19082
California,2007,3268,36250311,9.0151,8.85675
California,2008,3171,36604337,8.66291,8.52755
California,2009,3094,36961229,8.37093,8.20399
California,2010,2935,37253956,7.87836,7.70777
California,2011,3004,37691912,7.96988,7.79354
California,2012,3068,38041430,8.06489,7.92116
California,2013,3026,38332521,7.89408,7.71718
California,2014,2942,38802500,7.58199,7.38336
California,2015,3095,39144818,7.90654,7.68065
California,2016,3184,39250017,8.1121,7.93939
Colorado,2001,510,4425687,11.52363,11.69391
Colorado,2002,517,4490406,11.51344,11.49769
Colorado,2003,501,4528732,11.0627,11.1897
Colorado,2004,553,4575013,12.0874,12.02063
Colorado,2005,535,4631888,11.55037,11.59757
Colorado,2006,497,4720423,10.52872,10.4048
Colorado,2007,505,4803868,10.51236,10.42068
Colorado,2008,513,4889730,10.49138,10.41244
Colorado,2009,583,4972195,11.7252,11.64637
Colorado,2010,555,5029196,11.03556,10.79599
Colorado,2011,573,5116796,11.19841,10.94471
Colorado,2012,672,5187582,12.95401,12.57189
Colorado,2013,619,5268367,11.74937,11.51983
Colorado,2014,663,5355866,12.37895,12.21029
Colorado,2015,701,5456574,12.84689,12.59452
Colorado,2016,812,5540545,14.6556,14.30952
Connecticut,2001,191,3432835,5.56391,5.58068
Connecticut,2002,147,3458749,4.25009,4.28349
Connecticut,2003,153,3484336,4.39108,4.36834
Connecticut,2004,173,3496094,4.94838,4.94311
Connecticut,2005,187,3506956,5.33226,5.30808
Connecticut,2006,173,3517460,4.91832,4.95393
Connecticut,2007,149,3527270,4.22423,4.13736
Connecticut,2008,200,3545579,5.64083,5.57601
Connecticut,2009,173,3561807,4.85709,4.86987
Connecticut,2010,209,3574097,5.84763,5.85253
Connecticut,2011,210,3580709,5.86476,5.81091
Connecticut,2012,227,3590347,6.32251,6.35858
Connecticut,2013,161,3596080,4.4771,4.42362
Connecticut,2014,187,3596677,5.19924,4.95465
Connecticut,2015,189,3590886,5.26332,5.2825
Connecticut,2016,172,3576452,4.80924,4.60473
Delaware,2001,76,795699,9.55135,9.49312
Delaware,2002,74,806169,9.17922,9.09249
Delaware,2003,65,818003,7.94618,7.91448
Delaware,2004,75,830803,9.02741,8.82686
Delaware,2005,75,845150,8.87416,8.84089
Delaware,2006,79,859268,9.19387,9.14785
Delaware,2007,79,871749,9.06224,8.85668
Delaware,2008,95,883874,10.74814,10.70575
Delaware,2009,76,891730,8.52276,8.77401
Delaware,2010,88,897934,9.80027,9.87732
Delaware,2011,77,907135,8.48826,8.22108
Delaware,2012,96,917092,10.46787,10.53281
Delaware,2013,100,925749,10.80206,10.34118
Delaware,2014,102,935614,10.90193,11.08091
Delaware,2015,112,945934,11.84015,12.12119
Delaware,2016,111,952065,11.65887,10.96355
District of Columbia,2001,169,574504,29.41668,25.97021
District of Columbia,2002,195,573158,34.02203,30.28833
District of Columbia,2003,167,568502,29.37545,26.01993
District of Columbia,2004,143,567754,25.18696,22.42027
District of Columbia,2005,154,567136,27.15398,23.78667
District of Columbia,2006,134,570681,23.48072,20.40824
District of Columbia,2007,144,574404,25.06946,21.58292
District of Columbia,2008,137,580236,23.61108,20.14918
District of Columbia,2009,111,592228,18.74278,15.87877
District of Columbia,2010,99,601723,16.45275,14.18411
District of Columbia,2011,86,617996,13.91595,11.82978
District of Columbia,2012,68,632323,10.754,9.39768
District of Columbia,2013,71,646449,10.98308,8.85301
District of Columbia,2014,86,658893,13.0522,11.65937
District of Columbia,2015,120,672228,17.85109,15.19903
District of Columbia,2016,107,681170,15.70827,13.84705
Florida,2001,1816,16356966,11.1023,10.68994
Florida,2002,1886,16689370,11.30061,10.99652
Florida,2003,1940,17004085,11.40902,11.07848
Florida,2004,1890,17415318,10.85252,10.49636
Florida,2005,1838,17842038,10.30151,9.98861
Florida,2006,2083,18166990,11.46585,11.07723
Florida,2007,2272,18367842,12.36944,12.06022
Florida,2008,2334,18527305,12.59762,12.2243
Florida,2009,2324,18652644,12.45936,11.98997
Florida,2010,2268,18801310,12.06299,11.49882
Florida,2011,2378,19057542,12.478,11.96812
Florida,2012,2473,19317568,12.80182,12.18648
Florida,2013,2442,19552860,12.48922,11.92815
Florida,2014,2410,19893297,12.11463,11.54267
Florida,2015,2559,20271272,12.62378,12.00613
Florida,2016,2704,20612439,13.11829,12.61968
Georgia,2001,1124,8377038,13.41763,13.48441
Georgia,2002,1133,8508256,13.31648,13.43613
Georgia,2003,1173,8622793,13.60348,13.75876
Georgia,2004,1062,8769252,12.1105,12.17934
Georgia,2005,1064,8925922,11.92034,12.09517
Georgia,2006,1144,9155813,12.49479,12.55863
Georgia,2007,1244,9349988,13.30483,13.45522
Georgia,2008,1177,9504843,12.38316,12.48247
Georgia,2009,1247,9620846,12.96144,13.07479
Georgia,2010,1223,9687653,12.62432,12.64646
Georgia,2011,1232,9815210,12.55195,12.55217
Georgia,2012,1286,9919945,12.96378,12.81786
Georgia,2013,1262,9992167,12.62989,12.61603
Georgia,2014,1391,10097343,13.7759,13.68975
Georgia,2015,1448,10214860,14.17543,14.11879
Georgia,2016,1571,10310371,15.23709,15.01978
Hawaii,2001,47,1225948,3.83377,3.74179
Hawaii,2002,36,1239613,2.90413,2.80832
Hawaii,2003,37,1251154,2.95727,2.86709
Hawaii,2004,41,1273569,3.2193,3.0961
Hawaii,2005,28,1292729,2.16596,2.12764
Hawaii,2006,33,1309731,2.5196,2.41373
Hawaii,2007,36,1315675,2.73624,2.54674
Hawaii,2008,41,1332213,3.07759,2.95468
Hawaii,2009,47,1346717,3.48997,3.40424
Hawaii,2010,45,1360301,3.30809,3.21485
Hawaii,2011,49,1374810,3.56413,3.45272
Hawaii,2012,51,1392313,3.66297,3.35587
Hawaii,2013,38,1404054,2.70645,2.62337
Hawaii,2014,40,1419561,2.81777,2.64667
Hawaii,2015,55,1431603,3.84185,3.57039
Hawaii,2016,66,1428557,4.62005,4.48112
Idaho,2001,175,1319962,13.25796,13.54482
Idaho,2002,163,1340372,12.1608,12.40126
Idaho,2003,164,1363380,12.02893,12.3528
Idaho,2004,177,1391802,12.71733,12.97143
Idaho,2005,195,1428241,13.65316,14.05972
Idaho,2006,180,1468669,12.256,12.69002
Idaho,2007,187,1505105,12.42438,12.66584
Idaho,2008,175,1534320,11.4057,11.48539
Idaho,2009,196,1554439,12.60905,12.82153
Idaho,2010,198,1567582,12.63092,12.7947
Idaho,2011,192,1584985,12.11368,12.27707
Idaho,2012,207,1595728,12.97214,13.01811
Idaho,2013,227,1612136,14.0807,14.10708
Idaho,2014,213,1634464,13.0318,13.17837
Idaho,2015,247,1654930,14.9251,14.73325
Idaho,2016,242,1683140,14.37789,14.61913
Illinois,2001,1289,12488445,10.32154,10.22778
Illinois,2002,1231,12525556,9.82791,9.72343
Illinois,2003,1146,12556006,9.12711,9.03101
Illinois,2004,994,12589773,7.8953,7.81907
Illinois,2005,1019,12609903,8.08095,8.03802
Illinois,2006,1036,12643955,8.19364,8.11618
Illinois,2007,1032,12695866,8.12863,8.0622
Illinois,2008,1105,12747038,8.66868,8.55189
Illinois,2009,1058,12796778,8.26771,8.18631
Illinois,2010,1064,12830632,8.29265,8.20263
Illinois,2011,1114,12869257,8.65629,8.56475
Illinois,2012,1178,12875255,9.14933,9.05129
Illinois,2013,1117,12882135,8.67092,8.57104
Illinois,2014,1179,12880580,9.15331,9.04548
Illinois,2015,1220,12859995,9.48678,9.45532
Illinois,2016,1490,12801539,11.63923,11.65898
Indiana,2001,729,6127760,11.89668,11.85231
Indiana,2002,723,6155967,11.7447,11.69496
Indiana,2003,696,6196638,11.2319,11.23272
Indiana,2004,639,6233007,10.25187,10.26731
Indiana,2005,705,6278616,11.22859,11.17623
Indiana,2006,742,6332669,11.71702,11.64965
Indiana,2007,670,6379599,10.50223,10.53041
Indiana,2008,723,6424806,11.25326,11.24495
Indiana,2009,735,6459325,11.3789,11.31982
Indiana,2010,709,6483802,10.93494,10.81638
Indiana,2011,638,6516922,9.7899,9.6971
Indiana,2012,800,6537334,12.2374,12.21108
Indiana,2013,857,6570902,13.04235,12.99548
Indiana,2014,818,6596855,12.39985,12.3757
Indiana,2015,846,6619680,12.78007,12.70347
Indiana,2016,997,6633053,15.03079,14.95126
Iowa,2001,191,2931997,6.51433,6.3623
Iowa,2002,201,2934234,6.85017,6.75424
Iowa,2003,208,2941999,7.07002,6.97093
Iowa,2004,195,2953635,6.60203,6.4478
Iowa,2005,201,2964454,6.78034,6.71434
Iowa,2006,193,2982644,6.47077,6.34747
Iowa,2007,157,2999212,5.23471,4.99915
Iowa,2008,224,3016734,7.42525,7.31138
