State,Year,Population,Fdeaths,FCrude Rate,FAge Adjusted Rate,NFDeaths,NFCrude Rate,NFAge Adjusted Rate
Alabama,2001,4467634,387,8.66230,8.56569,125,2.79790,2.81160
Alabama,2002,4480089,381,8.50430,8.45582,133,2.96869,3.01729
Alabama,2003,4503491,399,8.85979,8.71749,122,2.70901,2.73791
Alabama,2004,4530729,375,8.27681,8.02271,166,3.66387,3.71584
Alabama,2005,4569805,369,8.07474,7.84921,166,3.63254,3.68095
Alabama,2006,4628981,400,8.64121,8.44651,180,3.88854,3.92665
Alabama,2007,4672840,396,8.47450,8.17926,196,4.19445,4.24140
Alabama,2008,4718206,424,8.98647,8.73314,180,3.81501,3.83421
Alabama,2009,4757938,479,10.06739,9.65329,194,4.07740,4.10685
Alabama,2010,4779736,454,9.49843,9.23879,225,4.70737,4.71454
Alabama,2011,4802740,452,9.41129,8.97016,202,4.20593,4.23973
Alabama,2012,4822023,500,10.36909,10.01996,224,4.64535,4.70331
Alabama,2013,4833722,504,10.42675,9.89351,217,4.48929,4.50262
Alabama,2014,4849377,479,9.87756,9.54843,236,4.86660,4.93965
Alabama,2015,4858979,528,10.86648,10.39175,222,4.56886,4.51216
Alabama,2016,4863300,550,11.30919,10.72902,238,4.89380,4.91318
Alaska,2001,633714,65,10.25699,10.30597,37,5.83860,5.61438
Alaska,2002,642337,92,14.32270,14.71792,40,6.22726,6.07044
Alaska,2003,648414,79,12.18357,13.30050,45,6.94001,7.01498
Alaska,2004,659286,94,14.25785,14.15995,61,9.25243,8.89135
Alaska,2005,666946,87,13.04453,13.42309,44,6.59724,6.49211
Alaska,2006,675302,79,11.69847,12.22867,56,8.29259,7.73069
Alaska,2007,680300,94,13.81743,14.53644,55,8.08467,8.00057
Alaska,2008,687455,116,16.87383,17.21076,53,7.70960,7.11250
Alaska,2009,698895,79,11.30356,11.15538,64,9.15731,8.86155
Alaska,2010,710231,107,15.06552,15.26540,57,8.02556,7.53497
Alaska,2011,722718,99,13.69829,13.95301,44,6.08813,6.06746
Alaska,2012,731449,98,13.39806,13.32558,70,9.57005,9.70786
Alaska,2013,735132,120,16.32360,16.71218,51,6.93753,6.40722
Alaska,2014,736732,115,15.60948,15.33667,52,7.05820,6.67818
Alaska,2015,738432,123,16.65692,16.45500,78,10.56292,10.43720
Alaska,2016,741894,113,15.23129,14.82818,80,10.78321,10.91743
Arizona,2001,5273477,468,8.87460,8.99557,299,5.66988,5.75688
Arizona,2002,5396255,559,10.35904,10.46823,327,6.05976,6.15820
Arizona,2003,5510364,486,8.81974,8.92098,354,6.42426,6.60875
Arizona,2004,5652404,509,9.00502,9.09635,371,6.56358,6.74167
Arizona,2005,5839077,514,8.80276,8.86508,431,7.38130,7.50861
Arizona,2006,6029141,563,9.33798,9.28735,416,6.89982,7.05247
Arizona,2007,6167681,552,8.94988,8.97201,464,7.52309,7.56662
Arizona,2008,6280362,540,8.59823,8.49197,432,6.87858,7.00038
Arizona,2009,6343154,605,9.53784,9.42409,455,7.17309,7.26637
Arizona,2010,6392017,620,9.69960,9.55340,473,7.39986,7.45270
Arizona,2011,6482505,674,10.39722,10.09938,486,7.49710,7.68661
Arizona,2012,6553255,663,10.11711,9.68298,493,7.52298,7.61761
Arizona,2013,6626624,655,9.88437,9.73540,508,7.66605,7.78321
Arizona,2014,6731484,683,10.14635,9.69032,561,8.33397,8.31346
Arizona,2015,6828065,707,10.35432,9.81992,569,8.33325,8.37264
Arizona,2016,6931071,755,10.89298,10.17039,516,7.44474,7.48529
Arkansas,2001,2691571,274,10.17993,10.11843,108,4.01253,4.14441
Arkansas,2002,2705927,257,9.49767,9.42890,120,4.43471,4.55083
Arkansas,2003,2724816,258,9.46853,9.27653,116,4.25717,4.34984
Arkansas,2004,2749686,232,8.43733,8.26586,129,4.69144,4.74184
Arkansas,2005,2781097,262,9.42074,9.26273,138,4.96207,5.08818
Arkansas,2006,2821761,247,8.75340,8.66358,129,4.57161,4.62226
Arkansas,2007,2848650,244,8.56546,8.44256,158,5.54649,5.77320
Arkansas,2008,2874554,275,9.56670,9.36336,172,5.98354,6.11197
Arkansas,2009,2896843,285,9.83830,9.66597,137,4.72929,4.79644
Arkansas,2010,2915918,266,9.12234,9.01486,181,6.20731,6.42966
Arkansas,2011,2937979,299,10.17706,10.22185,163,5.54803,5.76697
Arkansas,2012,2949131,307,10.40985,10.11836,178,6.03568,6.15207
Arkansas,2013,2959373,322,10.88068,10.58134,194,6.55544,6.75966
Arkansas,2014,2966369,323,10.88873,10.43892,192,6.47256,6.85905
Arkansas,2015,2978204,342,11.48343,10.84250,235,7.89066,8.25899
Arkansas,2016,2988248,331,11.07672,10.42082,224,7.49603,7.79740
California,2001,34479458,1450,4.20540,4.46797,1381,4.00528,4.05624
California,2002,34871843,1490,4.27279,4.49992,1738,4.98396,5.07856
California,2003,35253159,1505,4.26912,4.46530,1892,5.36689,5.44256
California,2004,35574576,1366,3.83982,4.00442,2002,5.62761,5.65453
California,2005,35827943,1329,3.70940,3.81773,1877,5.23893,5.25704
California,2006,36021202,1319,3.66173,3.72858,2015,5.59393,5.57748
California,2007,36250311,1422,3.92272,3.96432,2180,6.01374,5.97420
California,2008,36604337,1478,4.03777,4.05569,2297,6.27521,6.23307
California,2009,36961229,1519,4.10971,4.08805,2304,6.23356,6.12346
California,2010,37253956,1492,4.00494,3.94614,2421,6.49864,6.33852
California,2011,37691912,1564,4.14943,4.08293,2432,6.45231,6.34862
California,2012,38041430,1549,4.07188,4.01252,2344,6.16170,6.02971
California,2013,38332521,1571,4.09835,3.97364,2454,6.40187,6.23460
California,2014,38802500,1582,4.07706,3.91390,2632,6.78307,6.60689
California,2015,39144818,1559,3.98265,3.78641,2608,6.66244,6.47995
California,2016,39250017,1595,4.06369,3.88989,2699,6.87643,6.63153
Colorado,2001,4425687,390,8.81219,9.09962,332,7.50166,7.39073
Colorado,2002,4490406,380,8.46249,8.53722,347,7.72759,7.65587
Colorado,2003,4528732,363,8.01549,8.21138,365,8.05965,7.89484
Colorado,2004,4575013,402,8.78686,8.81442,395,8.63386,8.41292
Colorado,2005,4631888,396,8.54943,8.67805,404,8.72215,8.57396
Colorado,2006,4720423,371,7.85947,7.81897,359,7.60525,7.50575
Colorado,2007,4803868,396,8.24336,8.20893,415,8.63887,8.42941
Colorado,2008,4889730,387,7.91455,7.88241,416,8.50763,8.24966
Colorado,2009,4972195,454,9.13078,9.04858,487,9.79447,9.69490
Colorado,2010,5029196,427,8.49042,8.27275,438,8.70915,8.49878
Colorado,2011,5116796,443,8.65776,8.40915,470,9.18544,9.09539
Colorado,2012,5187582,533,10.27454,9.87073,519,10.00466,9.78797
Colorado,2013,5268367,489,9.28181,9.03949,518,9.83227,9.51603
Colorado,2014,5355866,539,10.06373,9.86364,544,10.15709,9.98825
Colorado,2015,5456574,541,9.91465,9.69474,552,10.11624,9.78224
Colorado,2016,5540545,613,11.06389,10.69891,555,10.01707,9.76213
Connecticut,2001,3432835,115,3.35000,3.24840,168,4.89391,4.87287
Connecticut,2002,3458749,85,2.45754,2.36960,175,5.05963,4.92781
Connecticut,2003,3484336,89,2.55429,2.42919,183,5.25208,5.11240
Connecticut,2004,3496094,105,3.00335,2.87640,189,5.40603,5.27536
Connecticut,2005,3506956,112,3.19365,3.01166,183,5.21820,5.10465
Connecticut,2006,3517460,79,2.24594,2.12836,213,6.05551,5.82809
Connecticut,2007,3527270,78,2.21134,2.02099,193,5.47165,5.26724
Connecticut,2008,3545579,109,3.07425,2.84525,206,5.81005,5.64938
Connecticut,2009,3561807,93,2.61103,2.46919,223,6.26087,6.04510
Connecticut,2010,3574097,110,3.07770,2.92170,243,6.79892,6.45958
Connecticut,2011,3580709,111,3.09994,2.81889,259,7.23320,7.00793
Connecticut,2012,3590347,111,3.09162,2.90848,257,7.15808,6.95545
Connecticut,2013,3596080,92,2.55834,2.43515,238,6.61832,6.28703
Connecticut,2014,3596677,125,3.47543,3.13172,254,7.06207,6.62916
Connecticut,2015,3590886,104,2.89622,2.73601,280,7.79752,7.14042
Connecticut,2016,3576452,110,3.07567,2.73901,287,8.02471,7.38287
Delaware,2001,795699,53,6.66081,6.62081,55,6.91216,6.85709
Delaware,2002,806169,38,4.71365,4.63059,36,4.46556,4.48837
Delaware,2003,818003,42,5.13446,5.07649,52,6.35694,6.27396
Delaware,2004,830803,45,5.41645,5.20667,48,5.77754,5.79526
Delaware,2005,845150,42,4.96953,4.88285,41,4.85121,4.78869
Delaware,2006,859268,42,4.88788,4.66687,49,5.70253,5.64965
Delaware,2007,871749,46,5.27675,4.97357,49,5.62088,5.61776
Delaware,2008,883874,41,4.63867,4.40953,68,7.69340,7.48900
Delaware,2009,891730,38,4.26138,4.33540,69,7.73777,7.37029
Delaware,2010,897934,43,4.78877,4.67343,63,7.01611,6.68759
Delaware,2011,907135,46,5.07091,4.75828,59,6.50399,6.25879
Delaware,2012,917092,46,5.01585,4.81408,79,8.61418,8.39168
Delaware,2013,925749,60,6.48124,5.95228,62,6.69728,6.53539
Delaware,2014,935614,59,6.30602,5.99068,67,7.16107,7.17085
Delaware,2015,945934,55,5.81436,5.53452,67,7.08295,7.02464
Delaware,2016,952065,65,6.82726,5.84624,54,5.67188,5.61479
Florida,2001,16356966,1197,7.31798,6.73577,1117,6.82889,6.71482
Florida,2002,16689370,1205,7.22016,6.71875,1133,6.78875,6.61360
Florida,2003,17004085,1242,7.30413,6.76278,1055,6.20439,6.06644
Florida,2004,17415318,1197,6.87326,6.35373,1192,6.84455,6.64764
Florida,2005,17842038,1163,6.51831,5.97788,1184,6.63601,6.49725
Florida,2006,18166990,1227,6.75401,6.13810,1213,6.67695,6.43344
Florida,2007,18367842,1284,6.99048,6.38046,1303,7.09392,6.82857
Florida,2008,18527305,1397,7.54022,6.86262,1343,7.24876,6.99912
Florida,2009,18652644,1472,7.89164,7.13522,1386,7.43058,7.22445
Florida,2010,18801310,1454,7.73350,6.93945,1335,7.10057,6.75401
Florida,2011,19057542,1490,7.81843,7.01457,1390,7.29370,6.92078
Florida,2012,19317568,1550,8.02378,7.13579,1452,7.51647,7.21211
Florida,2013,19552860,1566,8.00906,7.13189,1362,6.96573,6.65208
Florida,2014,19893297,1538,7.73125,6.82268,1497,7.52515,7.07467
Florida,2015,20271272,1630,8.04094,7.06913,1575,7.76962,7.34693
Florida,2016,20612439,1672,8.11161,7.09855,1471,7.13647,6.85089
Georgia,2001,8377038,626,7.47281,7.77207,309,3.68865,3.62265
Georgia,2002,8508256,614,7.21652,7.59327,295,3.46722,3.46921
Georgia,2003,8622793,656,7.60774,7.96984,316,3.66471,3.63784
Georgia,2004,8769252,605,6.89911,7.14809,368,4.19648,4.15983
Georgia,2005,8925922,590,6.60996,6.89246,334,3.74191,3.66571
Georgia,2006,9155813,600,6.55321,6.75534,323,3.52781,3.52845
Georgia,2007,9349988,641,6.85562,7.09583,356,3.80749,3.78377
Georgia,2008,9504843,616,6.48091,6.56546,365,3.84015,3.80827
