State,Year,Population,Method,Deaths,Crude Rate,Age Adjusted Rate
Alabama,2001,4467634,Firearm,387,8.6623,8.56569
Alabama,2002,4480089,Firearm,381,8.5043,8.45582
Alabama,2003,4503491,Firearm,399,8.85979,8.71749
Alabama,2004,4530729,Firearm,375,8.27681,8.02271
Alabama,2005,4569805,Firearm,369,8.07474,7.84921
Alabama,2006,4628981,Firearm,400,8.64121,8.44651
Alabama,2007,4672840,Firearm,396,8.4745,8.17926
Alabama,2008,4718206,Firearm,424,8.98647,8.73314
Alabama,2009,4757938,Firearm,479,10.06739,9.65329
Alabama,2010,4779736,Firearm,454,9.49843,9.23879
Alabama,2011,4802740,Firearm,452,9.41129,8.97016
Alabama,2012,4822023,Firearm,500,10.36909,10.01996
Alabama,2013,4833722,Firearm,504,10.42675,9.89351
Alabama,2014,4849377,Firearm,479,9.87756,9.54843
Alabama,2015,4858979,Firearm,528,10.86648,10.39175
Alabama,2016,4863300,Firearm,550,11.30919,10.72902
Alaska,2001,633714,Firearm,65,10.25699,10.30597
Alaska,2002,642337,Firearm,92,14.3227,14.71792
Alaska,2003,648414,Firearm,79,12.18357,13.3005
Alaska,2004,659286,Firearm,94,14.25785,14.15995
Alaska,2005,666946,Firearm,87,13.04453,13.42309
Alaska,2006,675302,Firearm,79,11.69847,12.22867
Alaska,2007,680300,Firearm,94,13.81743,14.53644
Alaska,2008,687455,Firearm,116,16.87383,17.21076
Alaska,2009,698895,Firearm,79,11.30356,11.15538
Alaska,2010,710231,Firearm,107,15.06552,15.2654
Alaska,2011,722718,Firearm,99,13.69829,13.95301
Alaska,2012,731449,Firearm,98,13.39806,13.32558
Alaska,2013,735132,Firearm,120,16.3236,16.71218
Alaska,2014,736732,Firearm,115,15.60948,15.33667
Alaska,2015,738432,Firearm,123,16.65692,16.455
Alaska,2016,741894,Firearm,113,15.23129,14.82818
Arizona,2001,5273477,Firearm,468,8.8746,8.99557
Arizona,2002,5396255,Firearm,559,10.35904,10.46823
Arizona,2003,5510364,Firearm,486,8.81974,8.92098
Arizona,2004,5652404,Firearm,509,9.00502,9.09635
Arizona,2005,5839077,Firearm,514,8.80276,8.86508
Arizona,2006,6029141,Firearm,563,9.33798,9.28735
Arizona,2007,6167681,Firearm,552,8.94988,8.97201
Arizona,2008,6280362,Firearm,540,8.59823,8.49197
Arizona,2009,6343154,Firearm,605,9.53784,9.42409
Arizona,2010,6392017,Firearm,620,9.6996,9.5534
Arizona,2011,6482505,Firearm,674,10.39722,10.09938
Arizona,2012,6553255,Firearm,663,10.11711,9.68298
Arizona,2013,6626624,Firearm,655,9.88437,9.7354
Arizona,2014,6731484,Firearm,683,10.14635,9.69032
Arizona,2015,6828065,Firearm,707,10.35432,9.81992
Arizona,2016,6931071,Firearm,755,10.89298,10.17039
Arkansas,2001,2691571,Firearm,274,10.17993,10.11843
Arkansas,2002,2705927,Firearm,257,9.49767,9.4289
Arkansas,2003,2724816,Firearm,258,9.46853,9.27653
Arkansas,2004,2749686,Firearm,232,8.43733,8.26586
Arkansas,2005,2781097,Firearm,262,9.42074,9.26273
Arkansas,2006,2821761,Firearm,247,8.7534,8.66358
Arkansas,2007,2848650,Firearm,244,8.56546,8.44256
Arkansas,2008,2874554,Firearm,275,9.5667,9.36336
Arkansas,2009,2896843,Firearm,285,9.8383,9.66597
Arkansas,2010,2915918,Firearm,266,9.12234,9.01486
Arkansas,2011,2937979,Firearm,299,10.17706,10.22185
Arkansas,2012,2949131,Firearm,307,10.40985,10.11836
Arkansas,2013,2959373,Firearm,322,10.88068,10.58134
Arkansas,2014,2966369,Firearm,323,10.88873,10.43892
Arkansas,2015,2978204,Firearm,342,11.48343,10.8425
Arkansas,2016,2988248,Firearm,331,11.07672,10.42082
California,2001,34479458,Firearm,1450,4.2054,4.46797
California,2002,34871843,Firearm,1490,4.27279,4.49992
California,2003,35253159,Firearm,1505,4.26912,4.4653
California,2004,35574576,Firearm,1366,3.83982,4.00442
California,2005,35827943,Firearm,1329,3.7094,3.81773
California,2006,36021202,Firearm,1319,3.66173,3.72858
California,2007,36250311,Firearm,1422,3.92272,3.96432
California,2008,36604337,Firearm,1478,4.03777,4.05569
California,2009,36961229,Firearm,1519,4.10971,4.08805
California,2010,37253956,Firearm,1492,4.00494,3.94614
California,2011,37691912,Firearm,1564,4.14943,4.08293
California,2012,38041430,Firearm,1549,4.07188,4.01252
California,2013,38332521,Firearm,1571,4.09835,3.97364
California,2014,38802500,Firearm,1582,4.07706,3.9139
California,2015,39144818,Firearm,1559,3.98265,3.78641
California,2016,39250017,Firearm,1595,4.06369,3.88989
Colorado,2001,4425687,Firearm,390,8.81219,9.09962
Colorado,2002,4490406,Firearm,380,8.46249,8.53722
Colorado,2003,4528732,Firearm,363,8.01549,8.21138
Colorado,2004,4575013,Firearm,402,8.78686,8.81442
Colorado,2005,4631888,Firearm,396,8.54943,8.67805
Colorado,2006,4720423,Firearm,371,7.85947,7.81897
Colorado,2007,4803868,Firearm,396,8.24336,8.20893
Colorado,2008,4889730,Firearm,387,7.91455,7.88241
Colorado,2009,4972195,Firearm,454,9.13078,9.04858
Colorado,2010,5029196,Firearm,427,8.49042,8.27275
Colorado,2011,5116796,Firearm,443,8.65776,8.40915
Colorado,2012,5187582,Firearm,533,10.27454,9.87073
Colorado,2013,5268367,Firearm,489,9.28181,9.03949
Colorado,2014,5355866,Firearm,539,10.06373,9.86364
Colorado,2015,5456574,Firearm,541,9.91465,9.69474
Colorado,2016,5540545,Firearm,613,11.06389,10.69891
Connecticut,2001,3432835,Firearm,115,3.35,3.2484
Connecticut,2002,3458749,Firearm,85,2.45754,2.3696
Connecticut,2003,3484336,Firearm,89,2.55429,2.42919
Connecticut,2004,3496094,Firearm,105,3.00335,2.8764
Connecticut,2005,3506956,Firearm,112,3.19365,3.01166
Connecticut,2006,3517460,Firearm,79,2.24594,2.12836
Connecticut,2007,3527270,Firearm,78,2.21134,2.02099
Connecticut,2008,3545579,Firearm,109,3.07425,2.84525
Connecticut,2009,3561807,Firearm,93,2.61103,2.46919
Connecticut,2010,3574097,Firearm,110,3.0777,2.9217
Connecticut,2011,3580709,Firearm,111,3.09994,2.81889
Connecticut,2012,3590347,Firearm,111,3.09162,2.90848
Connecticut,2013,3596080,Firearm,92,2.55834,2.43515
Connecticut,2014,3596677,Firearm,125,3.47543,3.13172
Connecticut,2015,3590886,Firearm,104,2.89622,2.73601
Connecticut,2016,3576452,Firearm,110,3.07567,2.73901
Delaware,2001,795699,Firearm,53,6.66081,6.62081
Delaware,2002,806169,Firearm,38,4.71365,4.63059
Delaware,2003,818003,Firearm,42,5.13446,5.07649
Delaware,2004,830803,Firearm,45,5.41645,5.20667
Delaware,2005,845150,Firearm,42,4.96953,4.88285
Delaware,2006,859268,Firearm,42,4.88788,4.66687
Delaware,2007,871749,Firearm,46,5.27675,4.97357
Delaware,2008,883874,Firearm,41,4.63867,4.40953
Delaware,2009,891730,Firearm,38,4.26138,4.3354
Delaware,2010,897934,Firearm,43,4.78877,4.67343
Delaware,2011,907135,Firearm,46,5.07091,4.75828
Delaware,2012,917092,Firearm,46,5.01585,4.81408
Delaware,2013,925749,Firearm,60,6.48124,5.95228
Delaware,2014,935614,Firearm,59,6.30602,5.99068
Delaware,2015,945934,Firearm,55,5.81436,5.53452
Delaware,2016,952065,Firearm,65,6.82726,5.84624
Florida,2001,16356966,Firearm,1197,7.31798,6.73577
Florida,2002,16689370,Firearm,1205,7.22016,6.71875
Florida,2003,17004085,Firearm,1242,7.30413,6.76278
Florida,2004,17415318,Firearm,1197,6.87326,6.35373
Florida,2005,17842038,Firearm,1163,6.51831,5.97788
Florida,2006,18166990,Firearm,1227,6.75401,6.1381
Florida,2007,18367842,Firearm,1284,6.99048,6.38046
Florida,2008,18527305,Firearm,1397,7.54022,6.86262
Florida,2009,18652644,Firearm,1472,7.89164,7.13522
Florida,2010,18801310,Firearm,1454,7.7335,6.93945
Florida,2011,19057542,Firearm,1490,7.81843,7.01457
Florida,2012,19317568,Firearm,1550,8.02378,7.13579
Florida,2013,19552860,Firearm,1566,8.00906,7.13189
Florida,2014,19893297,Firearm,1538,7.73125,6.82268
Florida,2015,20271272,Firearm,1630,8.04094,7.06913
Florida,2016,20612439,Firearm,1672,8.11161,7.09855
Georgia,2001,8377038,Firearm,626,7.47281,7.77207
Georgia,2002,8508256,Firearm,614,7.21652,7.59327
Georgia,2003,8622793,Firearm,656,7.60774,7.96984
Georgia,2004,8769252,Firearm,605,6.89911,7.14809
Georgia,2005,8925922,Firearm,590,6.60996,6.89246
Georgia,2006,9155813,Firearm,600,6.55321,6.75534
Georgia,2007,9349988,Firearm,641,6.85562,7.09583
Georgia,2008,9504843,Firearm,616,6.48091,6.56546
Georgia,2009,9620846,Firearm,743,7.72281,7.85756
Georgia,2010,9687653,Firearm,718,7.4115,7.46583
Georgia,2011,9815210,Firearm,742,7.5597,7.53334
Georgia,2012,9919945,Firearm,750,7.56053,7.4842
Georgia,2013,9992167,Firearm,747,7.47586,7.41564
Georgia,2014,10097343,Firearm,841,8.32892,8.20561
Georgia,2015,10214860,Firearm,823,8.05689,7.94215
Georgia,2016,10310371,Firearm,871,8.4478,8.14729
Hawaii,2001,1225948,Firearm,31,2.52866,2.4678
Hawaii,2002,1239613,Firearm,21,1.69408,1.58956
Hawaii,2003,1251154,Firearm,24,1.91823,1.83731
Hawaii,2004,1273569,Firearm,31,2.4341,2.31282
Hawaii,2005,1292729,Firearm,22,1.70183,1.63127
Hawaii,2006,1309731,Firearm,21,1.60338,1.51752
