Year,Injury,Population,Suicides,Crude Suicide Rate,Age-Adjusted Suicide Rate,Self-Harm,Crude Self-Harm Rate,Age-Adjusted Self-Harm Rate
2001,Cut/Pierce,284968955,458,0.16,0.160644024,62817,22.04,21.84307028
2002,Cut/Pierce,287625193,566,0.2,0.19580661,62310,21.66,21.50995594
2003,Cut/Pierce,290107933,571,0.2,0.194522855,68910,23.75,23.67138391
2004,Cut/Pierce,292805298,590,0.2,0.197895094,79638,27.2,27.2264431
2005,Cut/Pierce,295516599,590,0.2,0.196673932,78867,26.69,26.56802984
2006,Cut/Pierce,298379912,598,0.2,0.195834477,77058,25.83,25.85356532
2007,Cut/Pierce,301231207,619,0.21,0.197631276,77024,25.57,25.76421859
2008,Cut/Pierce,304093966,666,0.22,0.211250094,75976,24.98,25.14665289
2009,Cut/Pierce,306771529,669,0.22,0.209556041,81452,26.55,26.90094551
2010,Cut/Pierce,308747508,673,0.22,0.208274232,93321,30.23,30.85047394
2011,Cut/Pierce,311663358,660,0.21,0.201561526,102305,32.83,33.70958299
2012,Cut/Pierce,313998379,730,0.23,0.219002599,108199,34.46,35.41605817
2013,Cut/Pierce,316204908,783,0.25,0.232403208,109862,34.74,36.29472883
2014,Cut/Pierce,318563456,740,0.23,0.219477392,112845,35.42,37.00012157
2015,Cut/Pierce,320896618,763,0.24,0.220872271,113736,35.44,37.06659387
2016,Cut/Pierce,323127513,864,0.27,0.249767737,115005,35.59,37.46631188
2001,Firearm,284968955,16869,5.92,5.904599253,3267,1.15,1.143044308
2002,Firearm,287625193,17108,5.95,5.915756834,3295,1.15,1.15050695
2003,Firearm,290107933,16907,5.83,5.770637382,3687,1.27,1.251951727
2004,Firearm,292805298,16750,5.72,5.647095397,3352,1.14,1.128456621
2005,Firearm,295516599,17002,5.75,5.655766502,3082,1.04,1.066952116
2006,Firearm,298379912,16883,5.66,5.539856206,3190,1.07,1.024430005
2007,Firearm,301231207,17352,5.76,5.625321386,4291,1.42,1.41587742
2008,Firearm,304093966,18223,5.99,5.815118121,3797,1.25,1.219833913
2009,Firearm,306771529,18735,6.11,5.90956224,3013,0.98,0.960622331
2010,Firearm,308747508,19392,6.28,6.059874365,4643,1.5,1.463706843
2011,Firearm,311663358,19990,6.41,6.156244809,3224,1.03,0.994809867
2012,Firearm,313998379,20666,6.58,6.287918387,4086,1.3,1.22698517
2013,Firearm,316204908,21175,6.7,6.3773901,3991,1.26,1.270051733
2014,Firearm,318563456,21386,6.71,6.358067411,3320,1.04,1.044712973
2015,Firearm,320896618,22018,6.86,6.497064908,3878,1.21,1.109140298
2016,Firearm,323127513,22938,7.1,6.719473672,4357,1.35,1.3015139
2001,Poisoning,284968955,5191,1.82,1.817675907,215814,75.73,75.34486821
2002,Poisoning,287625193,5486,1.91,1.899269188,214987,74.75,74.43426242
2003,Poisoning,290107933,5462,1.88,1.870930882,273898,94.41,94.36689997
2004,Poisoning,292805298,5800,1.98,1.960153703,272275,92.99,93.00007257
2005,Poisoning,295516599,5744,1.94,1.915112379,207199,70.11,70.45672852
2006,Poisoning,298379912,6109,2.05,2.003076566,216358,72.51,72.95111082
2007,Poisoning,301231207,6358,2.11,2.053873021,197733,65.64,66.23562673
2008,Poisoning,304093966,6442,2.12,2.068802206,200397,65.9,66.69203543
2009,Poisoning,306771529,6398,2.09,2.02374302,209977,68.45,69.3597686
2010,Poisoning,308747508,6599,2.14,2.056316746,266176,86.21,87.58467522
2011,Poisoning,311663358,6564,2.11,2.024697571,282314,90.58,92.06287943
2012,Poisoning,313998379,6729,2.14,2.051857485,265537,84.57,86.20832631
2013,Poisoning,316204908,6637,2.1,1.999756984,260175,82.28,83.84281895
2014,Poisoning,318563456,6808,2.14,2.048592536,242085,75.99,78.09829376
2015,Poisoning,320896618,6816,2.12,2.02406585,263822,82.21,84.19289531
2016,Poisoning,323127513,6698,2.07,1.970129921,266175,82.37,84.63180422
2001,Suffocation,284968955,6198,2.17,2.165944671,2761,0.97,0.9603275
2002,Suffocation,287625193,6462,2.25,2.235617758,2788,0.97,0.955109684
2003,Suffocation,290107933,6635,2.29,2.278759164,1613,0.56,0.560499335
2004,Suffocation,292805298,7336,2.51,2.497176495,1348,0.46,0.464582015
2005,Suffocation,295516599,7248,2.45,2.445882935,2171,0.73,0.756187552
2006,Suffocation,298379912,7491,2.51,2.506956741,1467,0.49,0.506322578
2007,Suffocation,301231207,8161,2.71,2.709476765,2264,0.75,0.741810902
2008,Suffocation,304093966,8578,2.82,2.81898472,1952,0.64,0.636724025
2009,Suffocation,306771529,9000,2.93,2.938788543,2527,0.82,0.867386132
2010,Suffocation,308747508,9493,3.07,3.057706945,3019,0.98,1.008690965
2011,Suffocation,311663358,9913,3.18,3.18546991,4195,1.35,1.370061414
2012,Suffocation,313998379,10088,3.21,3.228244848,3855,1.23,1.226617074
2013,Suffocation,316204908,10062,3.18,3.185373183,2838,0.9,0.936768425
2014,Suffocation,318563456,11407,3.58,3.573525863,3142,0.99,1.021032399
2015,Suffocation,320896618,11855,3.69,3.707770516,2989,0.93,0.95050272
2016,Suffocation,323127513,11642,3.6,3.630401844,4091,1.27,1.279498838
